RAL Code,LRV
320-M,"27,21"
330-1,"21,31"
330-2,"13,44"
330-3,"12,34"
330-4,"8,27"
330-5,"6,84"
330-6,"6,49"
330-M,"19,40"
340-1,"42,64"
340-2,"31,22"
340-3,"14,07"
340-4,"9,24"
340-5,"6,32"
340-6,"6,26"
340-M,"10,35"
350-1,"11,89"
350-2,"14,05"
350-3,"14,73"
350-4,"9,45"
350-5,"8,89"
350-6,"8,04"
350-M,"9,44"
360-1,"32,16"
360-2,"29,06"
360-3,"22,59"
360-4,"18,76"
360-5,"15,10"
360-6,"14,49"
360-M,"19,96"
370-1,"53,07"
370-2,"46,81"
370-3,"42,62"
370-4,"34,61"
370-5,"29,09"
370-6,"25,50"
370-M,"28,70"
380-1,"46,67"
450-4,"22,48"
450-5,"13,96"
450-6,"13,74"
450-M,"12,81"
460-1,"48,70"
460-2,"34,93"
460-3,"27,59"
460-4,"22,28"
460-5,"13,63"
460-6,"8,96"
460-M,"16,02"
470-1,"55,76"
470-2,"39,42"
470-3,"31,32"
470-4,"20,81"
470-5,"13,36"
470-6,"11,02"
470-M,"20,48"
480-1,"66,27"
480-2,"61,37"
480-3,"58,13"
480-4,"49,91"
480-5,"41,25"
480-6,"29,35"
480-M,"33,57"
490-1,"68,72"
490-2,"66,17"
490-3,"43,86"
490-4,"29,23"
490-5,"30,14"
490-6,"42,72"
490-M,"37,40"
510-1,"65,07"
510-2,"48,31"
510-3,"35,66"
510-4,"24,50"
510-5,"18,54"
510-6,"13,47"
510-M,"15,39"
520-1,"70,31"
520-2,"57,96"
520-3,"47,32"
520-4,"26,81"
520-5,"16,37"
590-1,"18,67"
590-2,"9,14"
590-3,"7,02"
590-4,"6,04"
590-5,"5,58"
590-6,"7,42"
590-M,"10,08"
610-1,"28,08"
610-2,"20,90"
610-3,"30,51"
610-4,"43,79"
610-5,"20,05"
610-6,"16,21"
610-M,"36,23"
620-1,"14,94"
620-2,"28,52"
620-3,"22,88"
620-4,"11,99"
620-5,"5,99"
620-6,"5,31"
620-M,"8,11"
630-1,"34,63"
630-2,"16,05"
630-3,"9,88"
630-4,"9,44"
630-5,"6,24"
630-6,"6,19"
630-M,"8,40"
640-1,"32,65"
640-2,"23,01"
640-3,"18,74"
640-4,"11,28"
640-5,"10,23"
640-6,"9,28"
640-M,"13,37"
650-1,"42,42"
650-2,"17,02"
650-3,"14,58"
650-4,"9,86"
650-5,"11,78"
650-6,"8,45"
650-M,"18,68"
660-1,"25,62"
660-2,"24,14"
730-5,"38,62"
730-6,"22,41"
730-M,"41,60"
740-1,"68,30"
740-2,"62,94"
740-3,"50,12"
740-4,"21,76"
740-5,"14,54"
740-6,"10,64"
740-M,"20,85"
750-1,"64,82"
750-2,"42,65"
750-3,"16,91"
750-4,"7,04"
750-5,"10,27"
750-6,"7,02"
750-M,"8,53"
760-1,"73,98"
760-2,"57,99"
760-3,"50,05"
760-4,"32,13"
760-5,"21,24"
760-6,"13,80"
760-M,"11,55"
770-1,"34,53"
770-2,"40,56"
770-3,"19,90"
770-4,"21,64"
770-5,"44,73"
770-6,"23,84"
770-M,"30,74"
780-1,"74,46"
780-2,"69,19"
780-3,"58,35"
780-4,"48,17"
780-5,"30,61"
780-6,"16,94"
780-M,"42,83"
790-1,"8,94"
790-2,"8,04"
790-3,"6,22"
790-4,"5,69"
790-5,"4,35"
790-6,"4,38"
870-2,"31,53"
870-3,"14,65"
870-4,"10,46"
870-5,"9,22"
870-6,"6,75"
870-M,"13,35"
