RAL Code,LRV
060 60 80,"29,83"
060 70 05,"43,88"
060 70 10,"43,67"
060 70 20,"42,70"
060 70 30,"41,11"
060 70 40,"42,28"
060 70 50,"42,37"
060 70 60,"41,40"
060 70 70,"42,05"
060 80 05,"59,48"
060 80 10,"58,35"
060 80 20,"58,57"
060 80 30,"58,67"
060 80 40,"56,82"
060 85 05,"67,44"
060 85 10,"67,93"
060 85 20,"66,92"
060 85 30,"67,28"
060 90 05,"78,30"
060 90 10,"77,70"
060 90 15,"76,25"
060 93 05,"84,67"
070 20 10,"6,50"
070 30 10,"8,65"
070 30 20,"9,50"
070 40 10,"13,62"
070 40 20,"13,63"
070 40 30,"14,32"
070 40 40,"14,21"
070 50 10,"20,41"
070 50 20,"20,68"
070 50 30,"20,16"
070 50 40,"20,27"
070 50 50,"19,98"
070 50 55,"20,35"
070 60 10,"29,93"
070 60 20,"30,16"
070 60 30,"29,32"
070 60 40,"29,65"
070 60 50,"30,03"
070 60 60,"30,27"
070 60 70,"29,83"
070 60 75,"29,42"
070 70 10,"42,32"
070 70 20,"42,07"
070 70 30,"42,62"
070 70 40,"39,27"
070 70 50,"42,17"
070 70 60,"42,99"
070 70 70,"41,10"
070 70 80,"40,60"
070 80 10,"57,55"
070 80 20,"59,17"
070 80 30,"58,01"
070 80 40,"59,01"
070 80 50,"58,40"
070 80 60,"58,56"
070 85 05,"66,60"
070 85 10,"67,40"
070 85 20,"66,79"
070 85 30,"67,48"
070 90 05,"78,06"
070 90 10,"78,27"
070 90 20,"77,45"
070 93 05,"85,21"
075 20 10,"6,69"
075 30 10,"9,79"
075 30 20,"9,71"
075 40 10,"14,14"
075 40 20,"13,85"
075 40 30,"13,67"
075 40 38,"13,99"
075 50 10,"21,03"
075 50 20,"20,83"
075 50 30,"21,10"
075 50 40,"20,97"
075 50 50,"20,74"
075 50 58,"20,14"
075 60 10,"30,72"
075 60 20,"30,41"
075 60 30,"30,54"
075 60 40,"30,49"
075 60 50,"30,05"
075 60 60,"29,77"
075 60 70,"30,20"
075 70 10,"43,05"
075 70 20,"42,49"
075 70 30,"42,47"
075 70 40,"42,05"
075 70 50,"42,34"
075 70 60,"42,32"
075 70 70,"43,19"
075 70 80,"42,58"
075 80 10,"59,12"
075 80 20,"59,07"
075 80 30,"58,14"
075 80 40,"58,23"
075 80 50,"57,34"
075 80 60,"57,76"
075 85 10,"67,65"
075 85 20,"67,40"
075 85 30,"67,36"
075 85 40,"66,84"
075 90 10,"79,97"
075 90 20,"77,76"
075 92 05,"79,85"
075 93 05,"84,45"
080 20 05,"6,36"
080 20 10,"6,48"
080 30 05,"9,30"
080 30 10,"9,15"
080 30 20,"9,19"
080 30 26,"9,17"
080 40 05,"14,32"
080 40 10,"14,11"
080 40 20,"13,68"
080 40 30,"13,68"
080 40 40,"14,37"
080 50 05,"20,94"
080 50 10,"20,81"
080 50 20,"20,72"
080 50 30,"20,80"
080 50 40,"20,45"
080 50 50,"20,80"
080 60 05,"30,53"
080 60 10,"29,86"
080 60 20,"30,24"
080 60 30,"30,07"
080 60 40,"29,48"
080 60 50,"29,99"
080 60 60,"30,52"
080 60 70,"30,34"
080 70 05,"42,51"
080 70 10,"42,11"
080 70 20,"42,24"
080 70 30,"41,85"
080 70 40,"42,41"
080 70 50,"42,31"
080 70 60,"43,37"
080 70 70,"43,27"
080 70 80,"41,92"
080 70 88,"42,21"
080 80 05,"58,59"
080 80 10,"59,08"
080 80 20,"58,18"
080 80 30,"57,60"
080 80 40,"57,93"
080 80 50,"58,36"
080 80 60,"58,41"
080 80 70,"57,23"
080 80 80,"57,05"
080 80 90,"57,50"
080 85 05,"66,46"
080 85 10,"66,75"
080 85 20,"67,18"
080 85 30,"66,36"
080 85 40,"66,54"
080 90 05,"79,30"
080 90 10,"76,97"
080 90 20,"69,56"
080 90 30,"77,06"
080 93 05,"83,57"
085 20 10,"6,80"
085 30 10,"9,86"
085 30 20,"9,39"
085 40 10,"14,49"
085 40 20,"14,07"
085 40 30,"14,51"
085 50 10,"21,03"
085 50 20,"21,18"
085 50 30,"21,35"
085 50 40,"21,00"
085 50 50,"21,16"
085 60 10,"30,60"
085 60 20,"30,61"
085 60 30,"30,59"
085 60 40,"30,67"
085 60 50,"30,98"
085 60 60,"31,26"
085 70 10,"42,09"
085 70 20,"42,51"
085 70 30,"42,82"
085 70 40,"42,28"
085 70 50,"42,41"
085 70 60,"42,09"
085 70 70,"41,93"
085 70 75,"43,45"
085 80 10,"57,86"
085 80 20,"57,84"
085 80 30,"58,56"
085 80 40,"58,41"
085 80 50,"57,77"
085 80 60,"57,59"
085 80 70,"57,33"
085 80 80,"56,64"
085 80 85,"56,68"
085 85 10,"65,49"
085 85 20,"66,06"
085 85 30,"66,38"
085 85 40,"67,17"
085 90 10,"79,23"
085 90 20,"77,16"
085 90 30,"75,78"
085 93 05,"84,62"
090 20 10,"6,58"
090 30 10,"9,24"
090 30 20,"9,54"
090 40 10,"14,53"
090 40 20,"13,98"
090 40 30,"14,26"
090 50 10,"20,86"
090 50 20,"20,90"
090 50 30,"21,31"
090 50 40,"21,36"
090 60 10,"29,90"
090 60 20,"30,08"
090 60 30,"30,12"
090 60 40,"29,94"
090 60 50,"28,82"
090 60 60,"31,06"
090 70 10,"42,58"
090 70 20,"42,16"
090 70 30,"41,73"
090 70 40,"43,17"
090 70 50,"43,03"
090 70 60,"42,71"
090 70 70,"42,92"
090 70 80,"42,57"
090 80 10,"57,61"
090 80 20,"56,93"
090 80 30,"58,90"
090 80 40,"59,15"
090 80 50,"58,90"
090 80 60,"57,91"
090 80 70,"58,72"
090 80 80,"57,06"
090 80 90,"58,63"
090 85 05,"66,43"
090 85 10,"67,10"
090 85 20,"67,05"
090 85 30,"67,40"
090 85 40,"66,54"
090 85 50,"67,37"
090 90 05,"77,76"
090 90 10,"77,83"
090 90 20,"77,35"
090 90 30,"76,79"
090 90 40,"77,36"
090 90 50,"74,49"
090 90 60,"73,70"
090 93 05,"83,12"
095 20 10,"6,73"
095 30 10,"9,87"
095 30 18,"9,81"
095 40 10,"14,36"
095 40 20,"13,89"
095 40 30,"13,96"
095 50 10,"20,84"
095 50 20,"21,05"
095 50 30,"21,28"
095 50 40,"21,15"
095 50 50,"21,86"
095 60 10,"30,55"
095 60 20,"30,45"
095 60 30,"30,20"
095 60 40,"30,30"
095 60 50,"30,58"
095 60 60,"29,55"
095 60 70,"30,29"
095 70 10,"43,33"
095 70 20,"43,65"
095 70 30,"43,45"
095 70 40,"42,88"
095 70 50,"42,55"
095 70 60,"41,91"
095 70 70,"43,03"
095 80 10,"58,65"
095 80 20,"59,23"
095 80 30,"60,37"
